NOME_REG;MUNIC_RES
Ji-Paraná;1100015
Ji-Paraná;1100379
Porto Velho;1100403
Ji-Paraná;1100346
Porto Velho;1100023
Porto Velho;1100452
Ji-Paraná;1100031
Porto Velho;1100601
Ji-Paraná;1100049
Porto Velho;1100700
Porto Velho;1100809
Ji-Paraná;1100908
Ji-Paraná;1100056
Ji-Paraná;1100924
Ji-Paraná;1100064
Ji-Paraná;1100072
Ji-Paraná;1100080
Porto Velho;1100940
Ji-Paraná;1100098
Porto Velho;1101005
Porto Velho;1100106
Porto Velho;1101104
Porto Velho;1100114
Ji-Paraná;1100122
Porto Velho;1100130
Ji-Paraná;1101203
Ji-Paraná;1101302
Porto Velho;1101401
Ji-Paraná;1100148
Porto Velho;1100338
Ji-Paraná;1101435
Ji-Paraná;1100502
Ji-Paraná;1100155
Ji-Paraná;1101450
Ji-Paraná;1100189
Ji-Paraná;1101468
Porto Velho;1100205
Ji-Paraná;1100254
Ji-Paraná;1101476
Porto Velho;1100262
Ji-Paraná;1100288
Ji-Paraná;1100296
Ji-Paraná;1101484
Ji-Paraná;1101492
Ji-Paraná;1100320
Ji-Paraná;1101500
Ji-Paraná;1101559
Porto Velho;1101609
Ji-Paraná;1101708
Porto Velho;1101757
Ji-Paraná;1101807
Ji-Paraná;1100304
Rio Branco;1200013
Rio Branco;1200054
Rio Branco;1200104
Rio Branco;1200138
Rio Branco;1200179
Cruzeiro do Sul;1200203
Rio Branco;1200252
Cruzeiro do Sul;1200302
Cruzeiro do Sul;1200328
Cruzeiro do Sul;1200336
Rio Branco;1200344
Cruzeiro do Sul;1200351
Rio Branco;1200385
Rio Branco;1200807
Cruzeiro do Sul;1200393
Rio Branco;1200401
Cruzeiro do Sul;1200427
Rio Branco;1200435
Rio Branco;1200500
Rio Branco;1200450
Cruzeiro do Sul;1200609
Rio Branco;1200708
Tefé;1300029
Tefé;1300060
Manaus;1300086
Manaus;1300102
Lábrea;1300144
Tefé;1300201
Manaus;1300300
Manaus;1300409
Parintins;1300508
Tefé;1300607
Manaus;1300631
Parintins;1300680
Lábrea;1300706
Manaus;1300805
Manaus;1300839
Lábrea;1300904
Tefé;1301001
Manaus;1301100
Manaus;1301159
Manaus;1301209
Manaus;1301308
Tefé;1301407
Tefé;1301506
Tefé;1301605
Tefé;1301654
Lábrea;1301704
Tefé;1301803
Manaus;1301852
Parintins;1301902
Tefé;1301951
Parintins;1302009
Tefé;1302108
Tefé;1302207
Tefé;1302306
Lábrea;1302405
Manaus;1302504
Manaus;1302553
Manaus;1302603
Lábrea;1302702
Tefé;1302801
Parintins;1302900
Parintins;1303007
Manaus;1303106
Manaus;1303205
Lábrea;1303304
Parintins;1303403
Lábrea;1303502
Manaus;1303536
Manaus;1303569
Manaus;1303601
Tefé;1303700
Manaus;1303809
Tefé;1303908
Parintins;1303957
Parintins;1304005
Tefé;1304062
Lábrea;1304104
Tefé;1304203
Tefé;1304237
Tefé;1304260
Parintins;1304302
Parintins;1304401
Boa Vista;1400050
Boa Vista;1400027
Boa Vista;1400100
Boa Vista;1400159
Boa Vista;1400175
Rorainópolis - Caracaraí;1400209
Rorainópolis - Caracaraí;1400233
Rorainópolis - Caracaraí;1400282
Boa Vista;1400308
Boa Vista;1400407
Boa Vista;1400456
Rorainópolis - Caracaraí;1400472
Rorainópolis - Caracaraí;1400506
Rorainópolis - Caracaraí;1400605
Boa Vista;1400704
Belém;1500107
Marabá;1500131
Belém;1500206
Breves;1500305
Redenção;1500347
Santarém;1500404
Altamira;1500503
Altamira;1500602
Breves;1500701
Belém;1500800
Altamira;1500859
Castanhal;1500909
Castanhal;1500958
Santarém;1501006
Breves;1501105
Marabá;1501204
Redenção;1501253
Belém;1501303
Belém;1501402
Santarém;1501451
Belém;1501501
Marabá;1501576
Castanhal;1501600
Castanhal;1501709
Altamira;1501725
Marabá;1501758
Marabá;1501782
Breves;1501808
Belém;1501907
Breves;1502004
Castanhal;1501956
Belém;1502103
Marabá;1502152
Castanhal;1502202
Castanhal;1502301
Castanhal;1502400
Breves;1502509
Belém;1502608
Redenção;1502707
Belém;1502756
Redenção;1502764
Marabá;1502772
Breves;1502806
Santarém;1502855
Castanhal;1502905
Castanhal;1502939
Marabá;1502954
Santarém;1503002
Redenção;1503044
Castanhal;1503077
Marabá;1503093
Breves;1503101
Castanhal;1503200
Belém;1503309
Castanhal;1503408
Castanhal;1503457
Castanhal;1503507
Santarém;1503606
Marabá;1503705
Santarém;1503754
Marabá;1503804
Santarém;1503903
Belém;1504000
Castanhal;1504059
Castanhal;1504109
Marabá;1504208
Castanhal;1504307
Castanhal;1504406
Belém;1504422
Altamira;1504455
Breves;1504505
Belém;1504604
Belém;1504703
Santarém;1504752
Santarém;1504802
Breves;1504901
Castanhal;1504950
Marabá;1504976
Castanhal;1505007
Santarém;1505031
Marabá;1505064
Santarém;1505106
Belém;1505205
Santarém;1505304
Castanhal;1505403
Redenção;1505437
Marabá;1505486
Marabá;1505494
Castanhal;1505502
Marabá;1505536
Redenção;1505551
Castanhal;1505601
Marabá;1505635
Santarém;1505650
Breves;1505700
Breves;1505809
Altamira;1505908
Santarém;1506005
Castanhal;1506104
Castanhal;1506112
Redenção;1506138
Redenção;1506161
Marabá;1506187
Santarém;1506195
Castanhal;1506203
Breves;1506302
Belém;1506351
Breves;1506401
Belém;1506500
Castanhal;1506559
Redenção;1506583
Castanhal;1506609
Redenção;1506708
Santarém;1506807
Castanhal;1506906
Belém;1507003
Belém;1507102
Marabá;1507151
Castanhal;1507201
Redenção;1507300
Castanhal;1507409
Marabá;1507458
Castanhal;1507466
Castanhal;1507474
Marabá;1507508
Castanhal;1507607
Breves;1507706
Redenção;1507755
Altamira;1507805
Breves;1507904
Belém;1507953
Castanhal;1507961
Santarém;1507979
Belém;1508001
Castanhal;1508035
Santarém;1508050
Redenção;1508084
Marabá;1508100
Castanhal;1508126
Altamira;1508159
Belém;1508209
Castanhal;1508308
Altamira;1508357
Redenção;1508407
Oiapoque - Porto Grande;1600105
Oiapoque - Porto Grande;1600204
Oiapoque - Porto Grande;1600212
Oiapoque - Porto Grande;1600238
Macapá;1600253
Macapá;1600279
Macapá;1600303
Macapá;1600402
Oiapoque - Porto Grande;1600501
Oiapoque - Porto Grande;1600154
Oiapoque - Porto Grande;1600535
Oiapoque - Porto Grande;1600550
Macapá;1600600
Oiapoque - Porto Grande;1600055
Oiapoque - Porto Grande;1600709
Macapá;1600808
Palmas;1700251
Araguaína;1700301
Gurupi;1700350
Gurupi;1700400
Gurupi;1700707
Araguaína;1701002
Araguaína;1701051
Palmas;1701101
Araguaína;1701309
Palmas;1701903
Gurupi;1702000
Araguaína;1702109
Araguaína;1702158
Araguaína;1702208
Araguaína;1702307
Gurupi;1702406
Araguaína;1702554
Gurupi;1702703
Araguaína;1702901
Araguaína;1703008
Araguaína;1703057
Araguaína;1703073
Palmas;1703107
Araguaína;1703206
Araguaína;1703305
Araguaína;1703602
Palmas;1703701
Araguaína;1703800
Araguaína;1703826
Araguaína;1703842
Gurupi;1703867
Araguaína;1703883
Araguaína;1703891
Palmas;1703909
Araguaína;1704105
Palmas;1705102
Palmas;1704600
Araguaína;1705508
Araguaína;1716703
Gurupi;1705557
Gurupi;1705607
Araguaína;1706001
Palmas;1706100
Gurupi;1706258
Araguaína;1706506
Gurupi;1707009
Palmas;1707108
Palmas;1707207
Gurupi;1707306
Araguaína;1707405
Palmas;1707553
Gurupi;1707652
Araguaína;1707702
Gurupi;1708205
Araguaína;1708304
Araguaína;1709005
Araguaína;1709302
Gurupi;1709500
Palmas;1709807
Araguaína;1710508
Araguaína;1710706
Araguaína;1710904
Araguaína;1711100
Gurupi;1711506
Araguaína;1711803
Palmas;1711902
Palmas;1711951
Palmas;1712009
Gurupi;1712157
Palmas;1712405
Araguaína;1712454
Palmas;1712504
Palmas;1712702
Araguaína;1712801
Palmas;1713205
Palmas;1713304
Palmas;1713601
Palmas;1713700
Araguaína;1713957
Palmas;1714203
Araguaína;1714302
Araguaína;1714880
Palmas;1715002
Palmas;1715101
Gurupi;1715150
Gurupi;1715259
Palmas;1715507
Palmas;1721000
Araguaína;1715705
Araguaína;1713809
Gurupi;1715754
Palmas;1716109
Gurupi;1716208
Araguaína;1716307
Araguaína;1716505
Gurupi;1716604
Araguaína;1716653
Palmas;1717008
Araguaína;1717206
Palmas;1717503
Gurupi;1717800
Palmas;1717909
Gurupi;1718006
Palmas;1718204
Araguaína;1718303
Araguaína;1718402
Palmas;1718451
Araguaína;1718501
Araguaína;1718550
Gurupi;1718659
Palmas;1718709
Palmas;1718758
Araguaína;1718808
Gurupi;1718840
Araguaína;1718865
Araguaína;1718881
Palmas;1718899
Palmas;1718907
Palmas;1719004
Araguaína;1720002
Araguaína;1720101
Palmas;1720150
Araguaína;1720200
